"Content,Label"
"ഇവനെ ഒതുക്കാനുള്ള ശ്രമം,negative"
"ബിജു നാരായണനെ ആശ്വസിപ്പിക്കാനാവാതെ സുഹൃത്തുക്കള്‍ ശ്രീലതയ്ക്ക് ആദരാഞ്ജലി നേര്‍ന്ന് സിനിമാലോകം,negative"
"നടൻ  അമിതാഭ്  ബച്ചൻ ആശുപത്രിയിൽ കരൾ  രോഗമെന്ന്  റിപ്പോർട്ട്   അമിതാഭ്ബച്ചൻ,negative"
"ബിഗില്‍ റിലീസ് തിയേറ്ററുകള്‍ വെട്ടിക്കുറച്ചത് ആന്‍റണി പെരുമ്പാവൂരോ സോഷ്യല്‍ മീഡിയയില്‍ പൊങ്കാല,negative"
"ബിജു മേനോന്‍ നോ പറഞ്ഞെങ്കില്‍ ഉപേക്ഷിച്ചേനെ  നെക്കുറിച്ച് ലാല്‍ ജോസിന്‍റെ വെളിപ്പടുത്തല്‍,negative"
"പോണ്‍ സിനിമകളില്‍ നിന്നും വലിയ സമ്പാദ്യമൊന്നും ഉണ്ടാക്കാനായിട്ടില്ലെന്ന് മിയ ഖലീഫ  --സിനിമ-നടി,negative"
"രാധിക ആപ്തെയ്ക്ക് വീണ്ടും പണി കിട്ടി പുതിയ സിനിമയിലെ കിടപ്പറ രംഗം പുറത്തുവന്നു,negative"
"റിലയന്‍സിന്റെ 'ഫസ്റ്റ് ഡേ ഫസ്റ്റ് ഷോ', മള്‍ട്ടിപ്ലക്‌സ് തിയേറ്ററുകളുടെ കച്ചവടം പൂട്ടുമോ,negative"
"അവതാറും നീല പെയിന്റും കാമറൂണും ഗോവിന്ദയ്ക്ക് മാനസിക അസ്വാസ്ഥ്യമെന്ന് സുഹൃത്തിന്റെ വെളിപ്പെടുത്തല്‍…,negative"
"കുട്ടി ന്യൂജന്‍ ഒക്കെയാ  പക്ഷെ ഇത്ര എടുത്തുചാട്ടം പാടില്ല യുവ നടിക്ക്  ഉപദേശവുമായി സലീം കുമാർ…,negative"
"പ്രഭാസിനിത് നഷ്ടക്കച്ചവടം, വമ്പന്‍ ഹൈപ്പ് കൊടുത്തിട്ടും സാഹോ പരാജയമായി,കളക്ഷന്‍ റിപ്പോര്‍ട്ട് ഇങ്ങനെ  -,negative"
"ഇതൊന്നും താങ്ങാന്‍ അമ്പിളിക്കാവില്ല അവളെ വെറുതെ വിടൂ വ്യാജവാര്‍ത്ത പ്രചരിപ്പിച്ചവരോട് ആദിത്യന്‍…,negative"
"പ്രളയ പശ്ചാത്തലത്തിലുളള സിനിമയ്ക്കായി സെറ്റിട്ട സ്ഥലം അക്ഷരാര്‍ത്ഥത്തില്‍ ദുരിതാശ്വാസ ക്യാമ്പായി…,negative"
"സ്റ്റേജ് ഷോയ്ക്കിടെ കുഴഞ്ഞ് വീണു അഭിനയമെന്ന് കാണികള്‍, കൊമേഡിയന്‍ കുഴഞ്ഞു വീണു മരിച്ചു,negative"
"കെജിഎഫില്‍ മകനെ മോശമായി ചിത്രീകരിക്കുന്നു ഷൂട്ടിംഗ് തടയണമെന്ന് യഥാര്‍ത്ഥ റോക്കിയുടെ അമ്മ  --യഷ്-കെജിഎഫ്,negative"
"ഇങ്ങനെ ചെയ്യാന്‍ നാണമില്ല, പോസ്റ്റര്‍ കോപ്പിയടി വിവാദത്തില്‍ കുടുങ്ങി നടി കങ്കണ,negative"
"കെന്നഡി ക്ലബ് - പറഞ്ഞ് പഴകിയ വഴിയെ തന്നെ ശൈലന്റെ റിവ്യു,negative"
"പൃഥ്വിരാജ് നഷ്ടപ്പെടുത്തിയ ബ്രഹ്മണ്ഡ സിനിമ തെലുങ്കില്‍ ലൂസിഫര്‍ ഉണ്ടെങ്കില്‍ നായകൻ മെഗാസ്റ്റാറോ…,negative"
"ഹൃദയമിടിപ്പ് സെറ്റിൽ മുഴുവൻ കേൾക്കാമയിരുന്നു ഇനി അച്ഛന്റെ സിനിമയിൽ ഇല്ല, തുറന്ന് പറഞ്ഞ് കല്യാണി…,negative"
"റിയാലിറ്റി ഷോയ്ക്കിടെ  പ്രമുഖഗായികയെ  ബലമായി ചുംബിച്ച് യുവഗായകൻ വീഡിയോ  പുറത്ത്    ഗായിക,negative"
"വീണ്ടും പ്രളയ ദുരന്തത്തില്‍ കേരളം സഹായത്തിന് വേണ്ടി ഒത്തൊരുമയോടെ മലയാള സിനിമാലോകവും  …,negative"
"ഷോലെയിലെ കൊള്ളക്കാരന്‍ കാലിയ, ബോളിവുഡ് നടന്‍ വിജു ഖോട്ടെ അന്തരിച്ചു   -,negative"
"ഹാപ്പി സര്‍ദാര്‍ ലൊക്കേഷനില്‍ നിന്നും ദുരനുഭവം വെളിപ്പെടുത്തലുമായി മാല പാര്‍വതി,negative"
"നടന്‍ ദേവന്റെ ഭാര്യ സുമ അന്തരിച്ചു പ്രശസ്ത സംവിധായകന്‍ രാമു കാര്യാട്ടിന്റെ മകളുമാണ് സുമ,negative"
"നീലച്ചടയനും കഞ്ചവും ഉപയോഗിക്കുന്നവർ ഇങ്ങനെ ചോദിക്കുമോ ട്രോളന്മാർ പൊളിയാണ്, മറുപടിയുമായി ഷെയ്ൻ…,negative"
"കഥാപാത്രം കുറേനാള്‍ വേട്ടയാടി ആ സീന്‍ ചെയ്യേണ്ടായിരുന്നുവെന്ന് തോന്നിയെന്നും സൈജു കുറുപ്പ് …,negative"
